target	relatum	kind	elicited_relation	documented_relation	status	prob	hapax	min_distance
poverty	health	abstract	ANT		Missing	0.0508474576271186	False	
poverty	abundance	abstract	ANT		Missing	0.0169491525423728	True	
poverty	affluence	abstract	ANT		Missing	0.0677966101694915	False	
poverty	riches	abstract	ANT		Missing	0.0169491525423728	True	
poverty	prosperity	abstract	ANT		Missing	0.0169491525423728	True	
worm	insect	ambiguous	HYP	SYN	Mismatched	0.24	False	0.0
worm	invertebrate	ambiguous	HYP	HYP	Matched	0.06	False	1.0
worm	animal	ambiguous	HYP		Missing	0.12	False	2.0
worm	bug	ambiguous	HYP		Missing	0.18	False	
worm	pest	ambiguous	HYP		Missing	0.1	False	
worm	arthropod	ambiguous	HYP		Missing	0.02	True	
worm	crawler	ambiguous	HYP		Missing	0.06	False	
worm	bait	ambiguous	HYP		Missing	0.08	False	
worm	creature	ambiguous	HYP		Missing	0.06	False	2.0
worm	critter	ambiguous	HYP		Missing	0.04	False	
aircraft	plane	physical	HPO		Missing	0.2666666666666666	False	2.0
aircraft	jet	physical	HPO		Missing	0.3666666666666666	False	3.0
aircraft	helicopter	physical	HPO		Missing	0.1	False	2.0
aircraft	airplane	physical	HPO		Missing	0.1	False	2.0
aircraft	blimp	physical	HPO		Missing	0.0333333333333333	True	3.0
aircraft	airbus	physical	HPO		Missing	0.0333333333333333	True	4.0
aircraft	glider	physical	HPO		Missing	0.0333333333333333	True	2.0
black	color	ambiguous	HYP		Missing	0.3676470588235294	False	2.0
black	shade	ambiguous	HYP		Missing	0.1764705882352941	False	
black	hue	ambiguous	HYP		Missing	0.1323529411764706	False	
black	tone	ambiguous	HYP		Missing	0.088235294117647	False	
black	race	ambiguous	HYP		Missing	0.0147058823529411	True	
black	ethnicity	ambiguous	HYP		Missing	0.0147058823529411	True	
black	pall	ambiguous	HYP		Missing	0.0147058823529411	True	
black	salt	ambiguous	HYP		Missing	0.0147058823529411	True	
black	night	ambiguous	HYP		Missing	0.0147058823529411	True	
black	cat	ambiguous	HYP		Missing	0.0147058823529411	True	
black	light	ambiguous	HYP		Missing	0.0147058823529411	True	
black	tint	ambiguous	HYP		Missing	0.0588235294117647	False	
black	dark	ambiguous	HYP	HYP	Matched	0.0147058823529411	True	1.0
black	void	ambiguous	HYP		Missing	0.0147058823529411	True	
black	colorlessness	ambiguous	HYP		Missing	0.0147058823529411	True	
black	shadow	ambiguous	HYP		Missing	0.0147058823529411	True	
navy	fleet	abstract	MER	MER	Matched	0.1176470588235294	False	
navy	boat	abstract	MER		Missing	0.0196078431372549	True	
navy	seaman	abstract	MER		Missing	0.0392156862745098	False	
navy	commander	abstract	MER		Missing	0.0196078431372549	True	
navy	ship	abstract	MER		Missing	0.2745098039215686	False	
navy	officer	abstract	MER		Missing	0.0196078431372549	True	
navy	crew	abstract	MER		Missing	0.0392156862745098	False	
navy	flag	abstract	MER		Missing	0.0196078431372549	True	
navy	sailor	abstract	MER		Missing	0.1568627450980392	False	
navy	submarine	abstract	MER		Missing	0.0980392156862745	False	
navy	team	abstract	MER		Missing	0.0196078431372549	True	
navy	seal	abstract	MER		Missing	0.0196078431372549	True	
navy	soldier	abstract	MER		Missing	0.0196078431372549	True	
navy	captain	abstract	MER		Missing	0.0392156862745098	False	
navy	group	abstract	MER		Missing	0.0196078431372549	True	
navy	admiral	abstract	MER		Missing	0.0196078431372549	True	
navy	fireman	abstract	MER		Missing	0.0196078431372549	True	
navy	frigate	abstract	MER		Missing	0.0196078431372549	True	
protection	shield	ambiguous	HPO	HPO	Matched	0.1818181818181818	False	1.0
protection	defense	ambiguous	HPO	HPO	Matched	0.0909090909090909	False	1.0
protection	border	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	fence	ambiguous	HPO		Missing	0.0909090909090909	False	
protection	armor	ambiguous	HPO	HPO	Matched	0.1212121212121212	False	1.0
protection	gun	ambiguous	HPO		Missing	0.0909090909090909	False	
protection	weapon	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	knife	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	wall	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	fortress	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	arm	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	cover	ambiguous	HPO	HPO	Matched	0.0606060606060606	False	1.0
protection	guard	ambiguous	HPO		Missing	0.0606060606060606	False	
protection	condom	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	helmet	ambiguous	HPO		Missing	0.0303030303030303	True	4.0
protection	safety	ambiguous	HPO		Missing	0.0303030303030303	True	
protection	insurance	ambiguous	HPO	HPO	Matched	0.0303030303030303	True	1.0
dungeon	castle	physical	HOL	HOL	Matched	0.4385964912280701	False	
dungeon	jail	physical	HOL		Missing	0.0350877192982456	False	
dungeon	prison	physical	HOL		Missing	0.1403508771929824	False	
dungeon	lockup	physical	HOL		Missing	0.0175438596491228	True	
dungeon	asylum	physical	HOL		Missing	0.0175438596491228	True	
dungeon	fortress	physical	HOL		Missing	0.0175438596491228	True	
dungeon	lair	physical	HOL		Missing	0.0175438596491228	True	
dungeon	dungeon	physical	HOL	SYN	Mismatched	0.0175438596491228	True	
dungeon	hospital	physical	HOL		Missing	0.0175438596491228	True	
dungeon	cave	physical	HOL		Missing	0.0175438596491228	True	
dungeon	mansion	physical	HOL		Missing	0.0350877192982456	False	
dungeon	kingdom	physical	HOL		Missing	0.0175438596491228	True	
dungeon	palace	physical	HOL		Missing	0.0175438596491228	True	
dungeon	captivity	physical	HOL		Missing	0.0175438596491228	True	
dungeon	incarceration	physical	HOL		Missing	0.0175438596491228	True	
dungeon	keep	physical	HOL	SYN	Mismatched	0.0175438596491228	True	
dungeon	basement	physical	HOL		Missing	0.0526315789473684	False	
dungeon	imprisonment	physical	HOL		Missing	0.0175438596491228	True	
dungeon	punishment	physical	HOL		Missing	0.0175438596491228	True	
dungeon	structure	physical	HOL		Missing	0.0175438596491228	True	
dungeon	building	physical	HOL		Missing	0.0350877192982456	False	
dungeon	basement	physical	HYP		Missing	0.2456140350877192	False	
dungeon	jail	physical	HYP		Missing	0.1052631578947368	False	
dungeon	prison	physical	HYP		Missing	0.2105263157894736	False	
dungeon	place	physical	HYP		Missing	0.0701754385964912	False	
dungeon	cell	physical	HYP	HYP	Matched	0.1403508771929824	False	1.0
dungeon	area	physical	HYP		Missing	0.0526315789473684	False	3.0
dungeon	space	physical	HYP		Missing	0.0175438596491228	True	
dungeon	location	physical	HYP		Missing	0.0526315789473684	False	
dungeon	chamber	physical	HYP		Missing	0.0175438596491228	True	
dungeon	room	physical	HYP		Missing	0.0701754385964912	False	2.0
dungeon	den	physical	HYP		Missing	0.0175438596491228	True	
field	property	ambiguous	HOL		Missing	0.032258064516129	False	
field	ranch	ambiguous	HOL		Missing	0.0161290322580645	True	
field	park	ambiguous	HOL		Missing	0.0161290322580645	True	
field	yard	ambiguous	HOL	HPO	Mismatched	0.064516129032258	False	
field	farm	ambiguous	HOL		Missing	0.2258064516129032	False	
field	stadium	ambiguous	HOL	HOL	Matched	0.1612903225806451	False	
field	grass	ambiguous	HOL		Missing	0.0483870967741935	False	
field	vision	ambiguous	HOL		Missing	0.032258064516129	False	
field	ground	ambiguous	HOL	HYP	Mismatched	0.0161290322580645	True	
field	acre	ambiguous	HOL		Missing	0.0161290322580645	True	
field	place	ambiguous	HOL		Missing	0.0161290322580645	True	
field	environment	ambiguous	HOL	HYP	Mismatched	0.0161290322580645	True	
field	plant	ambiguous	HOL		Missing	0.0161290322580645	True	
field	vegetation	ambiguous	HOL		Missing	0.032258064516129	False	
field	greenery	ambiguous	HOL		Missing	0.0161290322580645	True	
field	flora	ambiguous	HOL		Missing	0.0161290322580645	True	
field	garden	ambiguous	HOL		Missing	0.0161290322580645	True	
field	dome	ambiguous	HOL		Missing	0.0161290322580645	True	
field	grassland	ambiguous	HOL		Missing	0.0161290322580645	True	
field	pitch	ambiguous	HOL	HPO	Mismatched	0.0161290322580645	True	
field	sport	ambiguous	HOL		Missing	0.0161290322580645	True	
field	landscape	ambiguous	HOL		Missing	0.0161290322580645	True	
field	ball	ambiguous	HOL		Missing	0.0161290322580645	True	
field	meadow	ambiguous	HOL		Missing	0.0161290322580645	True	
field	clearing	ambiguous	HOL		Missing	0.0161290322580645	True	
field	acreage	ambiguous	HOL		Missing	0.0161290322580645	True	
field	forest	ambiguous	HOL		Missing	0.0161290322580645	True	
appearance	reflection	abstract	HYP		Missing	0.0408163265306122	False	
appearance	aspect	abstract	HYP		Missing	0.0204081632653061	True	
appearance	form	abstract	HYP	HPO	Mismatched	0.0204081632653061	True	
appearance	look	abstract	HYP	HPO	Mismatched	0.1632653061224489	False	
appearance	show	abstract	HYP	SYN	Mismatched	0.0408163265306122	False	0.0
appearance	image	abstract	HYP	HPO	Mismatched	0.0408163265306122	False	
appearance	mirror	abstract	HYP		Missing	0.0204081632653061	True	
appearance	sighting	abstract	HYP		Missing	0.0612244897959183	False	
appearance	showing	abstract	HYP		Missing	0.0408163265306122	False	
appearance	arrival	abstract	HYP	HYP	Matched	0.0408163265306122	False	1.0
appearance	attribute	abstract	HYP		Missing	0.0204081632653061	True	2.0
appearance	visit	abstract	HYP		Missing	0.0612244897959183	False	
appearance	aesthetic	abstract	HYP		Missing	0.0408163265306122	False	
appearance	design	abstract	HYP		Missing	0.0408163265306122	False	
appearance	impression	abstract	HYP	HPO	Mismatched	0.0204081632653061	True	
appearance	assertion	abstract	HYP		Missing	0.0204081632653061	True	
appearance	state	abstract	HYP		Missing	0.0204081632653061	True	
appearance	existence	abstract	HYP		Missing	0.0612244897959183	False	
appearance	attendance	abstract	HYP	HYP	Matched	0.0408163265306122	False	1.0
appearance	presence	abstract	HYP		Missing	0.0612244897959183	False	
appearance	sight	abstract	HYP		Missing	0.0204081632653061	True	
appearance	phenomenon	abstract	HYP		Missing	0.0204081632653061	True	
appearance	occurrence	abstract	HYP	HYP	Matched	0.0204081632653061	True	1.0
appearance	event	abstract	HYP		Missing	0.0204081632653061	True	2.0
appearance	sensation	abstract	HYP		Missing	0.0204081632653061	True	
sentence	statement	abstract	HYP		Missing	0.064516129032258	False	
sentence	judgment	abstract	HYP		Missing	0.0161290322580645	True	2.0
sentence	punishment	abstract	HYP		Missing	0.0161290322580645	True	
sentence	judgement	abstract	HYP		Missing	0.0161290322580645	True	2.0
sentence	narrative	abstract	HYP		Missing	0.0161290322580645	True	
sentence	communication	abstract	HYP		Missing	0.064516129032258	False	3.0
sentence	speech	abstract	HYP		Missing	0.064516129032258	False	
sentence	talk	abstract	HYP		Missing	0.0161290322580645	True	
sentence	explanation	abstract	HYP		Missing	0.032258064516129	False	
sentence	response	abstract	HYP		Missing	0.0161290322580645	True	
sentence	language	abstract	HYP		Missing	0.1935483870967742	False	2.0
sentence	phrase	abstract	HYP		Missing	0.032258064516129	False	
sentence	wording	abstract	HYP		Missing	0.032258064516129	False	
sentence	grammar	abstract	HYP		Missing	0.1290322580645161	False	
sentence	writing	abstract	HYP		Missing	0.064516129032258	False	
sentence	story	abstract	HYP		Missing	0.0161290322580645	True	
sentence	construction	abstract	HYP		Missing	0.0161290322580645	True	
sentence	expression	abstract	HYP		Missing	0.0161290322580645	True	
sentence	utterance	abstract	HYP		Missing	0.0161290322580645	True	
sentence	essay	abstract	HYP		Missing	0.0161290322580645	True	
sentence	organization	abstract	HYP		Missing	0.0161290322580645	True	
sentence	line	abstract	HYP		Missing	0.0161290322580645	True	
sentence	discussion	abstract	HYP		Missing	0.0161290322580645	True	
sentence	conversation	abstract	HYP		Missing	0.0161290322580645	True	
sentence	vocabulary	abstract	HYP		Missing	0.0161290322580645	True	
sentence	word	abstract	HYP		Missing	0.0161290322580645	True	
sentence	remark	abstract	HYP		Missing	0.0161290322580645	True	
water	liquid	ambiguous	HYP	HYP	Matched	0.36	False	1.0
water	element	ambiguous	HYP	HYP	Matched	0.0533333333333333	False	1.0
water	matter	ambiguous	HYP		Missing	0.0133333333333333	True	3.0
water	drink	ambiguous	HYP	HPO	Mismatched	0.2	False	
water	sea	ambiguous	HYP	HPO	Mismatched	0.0266666666666666	False	
water	beverage	ambiguous	HYP		Missing	0.0533333333333333	False	
water	mixer	ambiguous	HYP		Missing	0.0133333333333333	True	
water	chaser	ambiguous	HYP		Missing	0.0133333333333333	True	
water	ingredient	ambiguous	HYP		Missing	0.0133333333333333	True	
water	vapor	ambiguous	HYP		Missing	0.0266666666666666	False	
water	ice	ambiguous	HYP	HOL	Mismatched	0.0133333333333333	True	
water	ocean	ambiguous	HYP	HPO	Mismatched	0.0133333333333333	True	
water	mineral	ambiguous	HYP		Missing	0.0133333333333333	True	
water	wetness	ambiguous	HYP		Missing	0.0133333333333333	True	
water	fluid	ambiguous	HYP		Missing	0.0533333333333333	False	2.0
water	moisture	ambiguous	HYP		Missing	0.0133333333333333	True	
water	dampness	ambiguous	HYP		Missing	0.0133333333333333	True	
water	hydration	ambiguous	HYP		Missing	0.0133333333333333	True	
water	state	ambiguous	HYP		Missing	0.0266666666666666	False	
water	solid	ambiguous	HYP		Missing	0.0133333333333333	True	3.0
water	solution	ambiguous	HYP		Missing	0.0266666666666666	False	
water	substance	ambiguous	HYP		Missing	0.0133333333333333	True	2.0
water	river	ambiguous	HOL		Missing	0.0909090909090909	False	
water	lake	ambiguous	HOL	HPO	Mismatched	0.1818181818181818	False	
water	pond	ambiguous	HOL		Missing	0.0454545454545454	False	
water	ocean	ambiguous	HOL	HPO	Mismatched	0.1363636363636363	False	
water	sea	ambiguous	HOL	HPO	Mismatched	0.0909090909090909	False	
water	beach	ambiguous	HOL		Missing	0.0151515151515151	True	
water	pool	ambiguous	HOL	HPO	Mismatched	0.0454545454545454	False	
water	faucet	ambiguous	HOL		Missing	0.0151515151515151	True	
water	ice	ambiguous	HOL	HOL	Matched	0.0151515151515151	True	
water	liquid	ambiguous	HOL	HYP	Mismatched	0.1212121212121212	False	
water	cloud	ambiguous	HOL		Missing	0.0303030303030303	False	
water	compound	ambiguous	HOL		Missing	0.0151515151515151	True	
water	beverage	ambiguous	HOL		Missing	0.0151515151515151	True	
water	earth	ambiguous	HOL		Missing	0.0151515151515151	True	
water	drink	ambiguous	HOL	HPO	Mismatched	0.0454545454545454	False	
water	element	ambiguous	HOL	HYP	Mismatched	0.0303030303030303	False	
water	fountain	ambiguous	HOL		Missing	0.0151515151515151	True	
water	stream	ambiguous	HOL	HPO	Mismatched	0.0151515151515151	True	
water	container	ambiguous	HOL		Missing	0.0151515151515151	True	
water	glass	ambiguous	HOL		Missing	0.0303030303030303	False	
water	cup	ambiguous	HOL		Missing	0.0151515151515151	True	
water	ocean	ambiguous	HPO	HPO	Matched	0.0909090909090909	False	1.0
water	river	ambiguous	HPO		Missing	0.1363636363636363	False	2.0
water	snow	ambiguous	HPO		Missing	0.0454545454545454	False	
water	glacier	ambiguous	HPO		Missing	0.0227272727272727	True	
water	iceberg	ambiguous	HPO		Missing	0.0227272727272727	True	
water	rain	ambiguous	HPO		Missing	0.0227272727272727	True	2.0
water	liquid	ambiguous	HPO	HYP	Mismatched	0.0909090909090909	False	
water	soda	ambiguous	HPO		Missing	0.0227272727272727	True	
water	pond	ambiguous	HPO		Missing	0.0909090909090909	False	2.0
water	sea	ambiguous	HPO	HPO	Matched	0.0454545454545454	False	1.0
water	lake	ambiguous	HPO	HPO	Matched	0.0909090909090909	False	1.0
water	drink	ambiguous	HPO	HPO	Matched	0.0681818181818181	False	1.0
water	wetness	ambiguous	HPO		Missing	0.0227272727272727	True	
water	beverage	ambiguous	HPO		Missing	0.0227272727272727	True	
water	fluid	ambiguous	HPO		Missing	0.0227272727272727	True	
water	substance	ambiguous	HPO		Missing	0.0227272727272727	True	
water	pool	ambiguous	HPO	HPO	Matched	0.0227272727272727	True	1.0
water	glass	ambiguous	HPO		Missing	0.0227272727272727	True	
water	ice	ambiguous	HPO	HOL	Mismatched	0.0227272727272727	True	
water	frost	ambiguous	HPO		Missing	0.0227272727272727	True	
water	hydrogen	ambiguous	MER	MER	Matched	0.2622950819672131	False	
water	oxygen	ambiguous	MER	MER	Matched	0.2622950819672131	False	
water	liquid	ambiguous	MER	HYP	Mismatched	0.0655737704918032	False	
water	wetness	ambiguous	MER		Missing	0.0491803278688524	False	
water	vapor	ambiguous	MER		Missing	0.0163934426229508	True	
water	gas	ambiguous	MER		Missing	0.0327868852459016	False	
water	moisture	ambiguous	MER		Missing	0.0163934426229508	True	
water	drop	ambiguous	MER		Missing	0.0491803278688524	False	
water	stream	ambiguous	MER	HPO	Mismatched	0.0163934426229508	True	
water	wave	ambiguous	MER		Missing	0.0327868852459016	False	
water	current	ambiguous	MER		Missing	0.0163934426229508	True	
water	atom	ambiguous	MER		Missing	0.0163934426229508	True	
water	element	ambiguous	MER	HYP	Mismatched	0.0327868852459016	False	
water	bond	ambiguous	MER		Missing	0.0327868852459016	False	
water	molecule	ambiguous	MER		Missing	0.0327868852459016	False	
water	cell	ambiguous	MER		Missing	0.0163934426229508	True	
water	flow	ambiguous	MER		Missing	0.0163934426229508	True	
water	temperature	ambiguous	MER		Missing	0.0163934426229508	True	
cell	nucleus	ambiguous	MER	MER	Matched	0.3	False	
cell	bed	ambiguous	MER		Missing	0.0333333333333333	False	
cell	toilet	ambiguous	MER		Missing	0.0333333333333333	False	
cell	sink	ambiguous	MER		Missing	0.0166666666666666	True	
cell	floor	ambiguous	MER		Missing	0.0166666666666666	True	
cell	wall	ambiguous	MER		Missing	0.05	False	
cell	membrane	ambiguous	MER		Missing	0.0833333333333333	False	
cell	atom	ambiguous	MER		Missing	0.0833333333333333	False	
cell	lock	ambiguous	MER		Missing	0.0333333333333333	False	
cell	bar	ambiguous	MER		Missing	0.0166666666666666	True	
cell	prisoner	ambiguous	MER		Missing	0.0166666666666666	True	
cell	chromosome	ambiguous	MER		Missing	0.0333333333333333	False	
cell	chromatin	ambiguous	MER		Missing	0.0166666666666666	True	
cell	organelle	ambiguous	MER	MER	Matched	0.0333333333333333	False	
cell	ribosome	ambiguous	MER		Missing	0.0333333333333333	False	
cell	proton	ambiguous	MER		Missing	0.0666666666666666	False	
cell	neutron	ambiguous	MER		Missing	0.05	False	
cell	electron	ambiguous	MER		Missing	0.05	False	
cell	particle	ambiguous	MER		Missing	0.0166666666666666	True	
cell	nucleus	ambiguous	HPO	MER	Mismatched	0.0526315789473684	False	
cell	mitochondria	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	room	ambiguous	HPO	HYP	Mismatched	0.1052631578947368	False	
cell	particle	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	organism	ambiguous	HPO	HOL	Mismatched	0.0526315789473684	False	
cell	phone	ambiguous	HPO		Missing	0.0526315789473684	False	
cell	dungeon	ambiguous	HPO	HPO	Matched	0.0789473684210526	False	1.0
cell	prison	ambiguous	HPO		Missing	0.1052631578947368	False	
cell	closet	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	immune	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	skin	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	neuron	ambiguous	HPO		Missing	0.0263157894736842	True	2.0
cell	structure	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	container	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	holder	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	barrier	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	blockade	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	body	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	battery	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	jail	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	animal	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	plant	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	human	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	cubicle	ambiguous	HPO	SYN	Mismatched	0.0263157894736842	True	0.0
cell	component	ambiguous	HPO		Missing	0.0263157894736842	True	
cell	enclosure	ambiguous	HPO		Missing	0.0263157894736842	True	
computer	device	physical	HYP		Missing	0.2950819672131147	False	2.0
computer	electronics	physical	HYP		Missing	0.0163934426229508	True	
computer	calculator	physical	HYP	SYN	Mismatched	0.0327868852459016	False	0.0
computer	key	physical	HYP		Missing	0.0163934426229508	True	
computer	keyboard	physical	HYP	MER	Mismatched	0.0163934426229508	True	
computer	mouse	physical	HYP		Missing	0.0163934426229508	True	
computer	monitor	physical	HYP	MER	Mismatched	0.0163934426229508	True	
computer	light	physical	HYP		Missing	0.0163934426229508	True	
computer	machine	physical	HYP	HYP	Matched	0.2295081967213114	False	1.0
computer	tool	physical	HYP		Missing	0.0655737704918032	False	
computer	equipment	physical	HYP		Missing	0.0327868852459016	False	
computer	machinery	physical	HYP		Missing	0.0163934426229508	True	
computer	medium	physical	HYP		Missing	0.0163934426229508	True	
computer	hardware	physical	HYP	MER	Mismatched	0.0163934426229508	True	
computer	software	physical	HYP		Missing	0.0163934426229508	True	
computer	screen	physical	HYP		Missing	0.0163934426229508	True	
computer	keyboard	physical	MER	MER	Matched	0.1944444444444444	False	
computer	monitor	physical	MER	MER	Matched	0.1111111111111111	False	
computer	disk	physical	MER		Missing	0.0138888888888888	True	
computer	screen	physical	MER		Missing	0.125	False	
computer	processor	physical	MER	MER	Matched	0.0138888888888888	True	
computer	cord	physical	MER		Missing	0.0277777777777777	False	
computer	chip	physical	MER	MER	Matched	0.0555555555555555	False	
computer	mouse	physical	MER		Missing	0.0694444444444444	False	
